福建移动,#genre#
辽宁卫视, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225832/index.m3u8
纯享4K 20M2160[3840*2160], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
河北卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8
河北卫视 576, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225837/index.m3u8
河南卫视 576, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225842/index.m3u8
金鹰卡通, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
青海卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海卫视 3.5M576, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225841/index.m3u8
青海安多卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
信号测试 5M1080, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226866/index.m3u8
信号测试 5M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226664/index.m3u8
哈哈炫动, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
贵州卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
贵州卫视 576[785*576], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225838/index.m3u8
重庆卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
重庆卫视, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225831/index.m3u8
陕西卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
陕西卫视 3.5M576, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225850/index.m3u8
浙江卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225825/index.m3u8
海南卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
海南卫视 576, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225855/index.m3u8
康巴卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
康巴卫视 576[768*576], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225856/index.m3u8
深圳卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225848/index.m3u8
厦门1, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226814/index.m3u8
厦门2, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/index.m3u8
厦门3, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8
湖北卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/index.m3u8
湖南卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225827/index.m3u8
湖南先锋乒羽 576[785*576], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226851/index.m3u8
湖南快乐垂钓, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226940/index.m3u8
湖南金鹰卡通 7M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8
湖南金鹰纪实 7M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226937/index.m3u8
湖南茶频道 576[785*576], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226859/index.m3u8
黑龙江卫视, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225862/index.m3u8
黑莓电竞, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225894/index.m3u8
黑莓电影, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓电影, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225891/index.m3u8
黑莓动画, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓动画, http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225878/index.m3u8
新疆卫视, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视 576[768*576], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225852/index.m3u8
